NOMGARE,VENDARGUES,MONTPELLIER EST,MONTPELLIER SUD,MONTPELLIER OUEST,ST JEAN DE VEDAS,SETE,AGDE,BEZIERS CABRIALS (SORTIE),BEZIERS OUEST,NARBONNE EST,NARBONNE SUD,SIGEAN,LEUCATE,PERPIGNAN NORD,PERPIGNAN SUD,BOULOU (FERMe),FRONTIERE ESPAGNOLE,LEZIGNAN,CARCASSONNE EST,CARCASSONNE OUEST,BRAM,CASTELNAUDARY,VILLEFRANCHE DE LAURAGAIS,NAILLOUX,MAZERES,PAMIER NORD,PAMIER SUD,MONTGISCARD,LE PALAYS,MONTAUDRAN,LASBORDES,SOUPETARD,LA ROSERAIE,LA CROIX DAURADE,BORDEROUGE,LES IZARDS,SESQUIERES
BRAM,0.09608938547486033,0.09942196531791907,0.10117647058823528,0.1036144578313253,0.10552147239263804,0.10337837837837838,0.08533333333333334,0.09310344827586207,0.08130081300813008,0.09166666666666667,0.09069767441860464,0.10444444444444445,0.09900990099009901,0.1008130081300813,0.09928057553956834,0.10194805194805194,0.10370370370370371,0.09272727272727273,0.08928571428571429,0.08095238095238096,0.0,0.09285714285714286,0.08421052631578947,0.051162790697674425,0.06931818181818182,0.09259259259259259,0.0949367088607595,0.08775510204081632,0.08571428571428572,0.09375,0.08955223880597014,0.0821917808219178,0.08,0.0821917808219178,0.07792207792207792,0.08,0.07792207792207792
CASTELNAUDARY,0.09481865284974093,0.09786096256684493,0.1,0.10166666666666667,0.10338983050847458,0.09813664596273293,0.09927536231884057,0.09453125,0.0925,0.10408163265306122,0.09578947368421052,0.09807692307692308,0.1,0.10145985401459855,0.09210526315789473,0.09821428571428571,0.10170454545454545,0.0927536231884058,0.09047619047619047,0.08235294117647059,0.09285714285714286,0.0,0.08333333333333333,0.052380952380952375,0.06621621621621622,0.08955223880597014,0.09230769230769231,0.08888888888888889,0.08571428571428572,0.096,0.09056603773584905,0.08135593220338982,0.07868852459016393,0.08135593220338982,0.07619047619047618,0.07868852459016393,0.075
VILLEFRANCHE DE LAURAGAIS,0.0935483870967742,0.09620853080568721,0.09806763285024155,0.1,0.1009950248756219,0.1,0.08983050847457627,0.09215686274509803,0.08427672955974844,0.08955223880597014,0.08629032258064516,0.096875,0.09352517985611511,0.09751552795031056,0.09431818181818183,0.09635416666666667,0.10099999999999999,0.0903225806451613,0.08333333333333333,0.0793103448275862,0.08421052631578947,0.08333333333333333,0.0,0.028125,0.055999999999999994,0.09767441860465116,0.10243902439024391,0.08333333333333333,0.08,0.0923076923076923,0.08275862068965517,0.06857142857142857,0.06486486486486487,0.06857142857142857,0.061538461538461535,0.06486486486486487,0.06
NAILLOUX,0.08167330677290836,0.09318181818181819,0.09534883720930233,0.09360730593607305,0.0971563981042654,0.09948453608247423,0.09702380952380953,0.0949367088607595,0.092,0.09765625,0.0928,0.08148148148148147,0.0738219895287958,0.09222222222222223,0.09193548387096775,0.0881057268722467,0.09452054794520548,0.06482758620689655,0.061016949152542375,0.06818181818181818,0.051162790697674425,0.052380952380952375,0.028125,0.0,0.08095238095238096,0.10967741935483871,0.09999999999999999,0.08333333333333333,0.0923076923076923,0.1037037037037037,0.09655172413793103,0.07777777777777778,0.07368421052631578,0.07777777777777778,0.07179487179487179,0.07368421052631578,0.06999999999999999
MAZERES,0.08239700374531835,0.0912863070539419,0.09322033898305085,0.09166666666666666,0.09482758620689655,0.09302325581395349,0.09735449735449735,0.09441340782122905,0.09239766081871345,0.09731543624161074,0.09452054794520548,0.08314606741573034,0.08253968253968254,0.0900497512437811,0.0893719806763285,0.08512396694214877,0.08583333333333334,0.07902097902097903,0.07413793103448275,0.07339449541284404,0.06931818181818182,0.06621621621621622,0.055999999999999994,0.08095238095238096,0.0,0.11000000000000001,0.06470588235294118,0.09090909090909091,0.09361702127659575,0.10416666666666667,0.09803921568627451,0.08771929824561403,0.0847457627118644,0.08771929824561403,0.08196721311475409,0.0847457627118644,0.08196721311475409
PAMIER NORD,0.09115384615384615,0.0944223107569721,0.09634146341463415,0.09634146341463415,0.09793388429752066,0.092,0.0934673366834171,0.09312169312169313,0.09171270718232045,0.09371069182389938,0.09358974358974359,0.09064327485380116,0.09010989010989011,0.09166666666666666,0.08847926267281106,0.08936170212765958,0.09053497942386832,0.09191176470588236,0.09259259259259259,0.08514851485148514,0.09259259259259259,0.08955223880597014,0.09767441860465116,0.10967741935483871,0.11000000000000001,0.0,0.0,0.10465116279069768,0.09649122807017543,0.10517241379310344,0.09999999999999999,0.09242424242424242,0.08970588235294118,0.09104477611940298,0.08591549295774648,0.08840579710144927,0.08591549295774648
PAMIER SUD,0.09186046511627907,0.09404761904761905,0.09518072289156626,0.09673469387755101,0.09793388429752066,0.09118942731277532,0.09029126213592234,0.0907216494845361,0.08829787234042553,0.08975903614457832,0.09012345679012346,0.09171597633136094,0.0911111111111111,0.09257425742574257,0.08807339449541284,0.09012875536480687,0.0912863070539419,0.09328358208955224,0.09345794392523364,0.086,0.0949367088607595,0.09230769230769231,0.10243902439024391,0.09999999999999999,0.06470588235294118,0.0,0.0,0.1,0.09482758620689655,0.10166666666666666,0.09838709677419354,0.0953125,0.09242424242424242,0.08591549295774648,0.08714285714285713,0.08026315789473684,0.08243243243243242
MONTGISCARD,0.09257641921397379,0.09549549549549549,0.09769585253456221,0.0986046511627907,0.09999999999999999,0.09795918367346938,0.09882352941176471,0.090625,0.09276315789473684,0.10076923076923076,0.09291338582677165,0.09714285714285714,0.0947019867549669,0.0953757225433526,0.09308510638297872,0.09852216748768473,0.09999999999999999,0.08666666666666667,0.08571428571428572,0.08285714285714285,0.08775510204081632,0.08888888888888889,0.08333333333333333,0.08333333333333333,0.09090909090909091,0.10465116279069768,0.1,0.0,0.09285714285714286,0.11333333333333333,0.09444444444444444,0.08947368421052632,0.07727272727272727,0.07083333333333333,0.068,0.06538461538461539,0.060714285714285714
LE PALAYS,0.09793388429752066,0.10042372881355932,0.10259740259740259,0.10349344978165939,0.10486725663716814,0.10143540669856459,0.10273224043715848,0.09884393063583816,0.09878787878787879,0.10347222222222223,0.09928571428571428,0.09803921568627451,0.0975609756097561,0.1010752688172043,0.09402985074626866,0.09953917050691245,0.10044247787610619,0.09576271186440678,0.09999999999999999,0.09523809523809523,0.08571428571428572,0.08571428571428572,0.08,0.0923076923076923,0.09361702127659575,0.09649122807017543,0.09482758620689655,0.09285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTAUDRAN,0.1,0.10253164556962026,0.10474137931034483,0.10565217391304348,0.10704845814977974,0.1033175355450237,0.10486486486486486,0.10114285714285715,0.10119760479041916,0.10689655172413794,0.10283687943262411,0.10129870129870129,0.10060606060606062,0.10374331550802138,0.0960591133004926,0.10183486238532109,0.1026431718061674,0.1,0.10543478260869564,0.10117647058823528,0.09375,0.096,0.0923076923076923,0.1037037037037037,0.10416666666666667,0.10517241379310344,0.10166666666666666,0.11333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LASBORDES,0.09878048780487805,0.10167364016736402,0.10384615384615385,0.10474137931034483,0.10565217391304348,0.10234741784037558,0.10374331550802138,0.09999999999999999,0.09999999999999999,0.1054421768707483,0.10069444444444445,0.09936305732484076,0.09880952380952382,0.10210526315789473,0.0951219512195122,0.1009090909090909,0.1017467248908297,0.09754098360655739,0.10319148936170212,0.09885057471264368,0.08955223880597014,0.09056603773584905,0.08275862068965517,0.09655172413793103,0.09803921568627451,0.09999999999999999,0.09838709677419354,0.09444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUPETARD,0.09642857142857143,0.1008298755186722,0.10296610169491525,0.10167364016736402,0.10474137931034483,0.10139534883720931,0.10264550264550264,0.0988826815642458,0.09883040935672514,0.1040268456375839,0.1,0.09570552147239264,0.09540229885057472,0.09897959183673469,0.09420289855072464,0.09779735682819383,0.09914893617021277,0.09296875,0.09603960396039603,0.09148936170212765,0.0821917808219178,0.08135593220338982,0.06857142857142857,0.07777777777777778,0.08771929824561403,0.09242424242424242,0.0953125,0.08947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA ROSERAIE,0.09566929133858268,0.1,0.10210084033613445,0.1008298755186722,0.10384615384615385,0.10046082949308756,0.10157068062827225,0.09779005524861878,0.0976878612716763,0.10264900662251655,0.09797297297297297,0.09454545454545454,0.09431818181818183,0.09797979797979797,0.09330143540669857,0.09694323144104804,0.09789915966386555,0.09153846153846154,0.09417475728155339,0.08958333333333333,0.08,0.07868852459016393,0.06486486486486487,0.07368421052631578,0.0847457627118644,0.08970588235294118,0.09242424242424242,0.07727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA CROIX DAURADE,0.09642857142857143,0.09878048780487805,0.10041322314049587,0.10167364016736402,0.10296610169491525,0.09909090909090909,0.09897959183673469,0.09516129032258064,0.09494382022471909,0.09935897435897435,0.09477124183006536,0.09570552147239264,0.09540229885057472,0.09897959183673469,0.0924170616113744,0.09779735682819383,0.09914893617021277,0.09296875,0.09603960396039603,0.09247311827956989,0.0821917808219178,0.08135593220338982,0.06857142857142857,0.07777777777777778,0.08771929824561403,0.09104477611940298,0.08591549295774648,0.07083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORDEROUGE,0.094921875,0.09838056680161944,0.10041322314049587,0.10041322314049587,0.10253164556962026,0.09909090909090909,0.09948717948717949,0.09619565217391304,0.09548022598870055,0.1,0.09602649006622517,0.09341317365269461,0.09325842696629215,0.09699999999999999,0.09154929577464789,0.09652173913043478,0.09748953974895398,0.09015151515151515,0.09326923076923076,0.08865979381443298,0.07792207792207792,0.07619047619047618,0.061538461538461535,0.07179487179487179,0.08196721311475409,0.08591549295774648,0.08714285714285713,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LES IZARDS,0.09566929133858268,0.09798387096774194,0.09918367346938776,0.1008298755186722,0.10210084033613445,0.09775784753363229,0.09651741293532337,0.09267015706806282,0.09234972677595628,0.09627329192546584,0.09235668789808917,0.09454545454545454,0.09431818181818183,0.09797979797979797,0.0911214953271028,0.09694323144104804,0.09789915966386555,0.09153846153846154,0.09417475728155339,0.08958333333333333,0.08,0.07868852459016393,0.06486486486486487,0.07368421052631578,0.0847457627118644,0.08840579710144927,0.08026315789473684,0.06538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SESQUIERES,0.09455252918287937,0.09720000000000001,0.09878048780487805,0.1,0.10125,0.09688888888888889,0.09748743718592964,0.09414893617021276,0.09337016574585634,0.09748427672955975,0.0935483870967742,0.09341317365269461,0.09273743016759778,0.09651741293532337,0.09027777777777778,0.0961038961038961,0.09708333333333334,0.08947368421052632,0.09238095238095237,0.08775510204081632,0.07792207792207792,0.075,0.06,0.06999999999999999,0.08196721311475409,0.08591549295774648,0.08243243243243242,0.060714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
